Место,Название страны,Регион,Уровень удовлетворённости жизнью
1,Финляндия,Европа,7.74
2,Дания,Европа,7.52
3,Исландия,Европа,7.51
4,Швеция,Европа,7.34
5,Нидерланды,Европа,7.31
6,Коста-Рика,Северная Америка,7.27
7,Норвегия,Европа,7.26
8,Израиль,Азия,7.23
9,Люксембург,Европа,7.12
10,Мексика,Северная Америка,6.98
11,Австралия,Океания,6.97
12,Новая Зеландия,Океания,6.95
13,Швейцария,Европа,6.93
14,Бельгия,Европа,6.91
15,Ирландия,Европа,6.89
16,Литва,Европа,6.83
17,Австрия,Европа,6.81
18,Канада,Северная Америка,6.8
19,Словения,Европа,6.79
20,Чехия,Европа,6.78
21,Объединенные Арабские Эмираты,Азия,6.76
22,Германия,Европа,6.75
23,Великобритания,Европа,6.73
24,Соединенные Штаты,Северная Америка,6.72
25,Белиз,Северная Америка,6.71
26,Польша,Европа,6.67
27,Тайвань,Азия,6.67
28,Косово,Европа,6.66
29,Уругвай,Южная Америка,6.66
30,Кувейт,Азия,6.63
31,Сербия,Европа,6.61
32,Саудовская Аравия,Азия,6.6
33,Франция,Европа,6.59
34,Сингапур,Азия,6.57
35,Румыния,Европа,6.56
36,Бразилия,Южная Америка,6.49
37,Сальвадор,Северная Америка,6.49
38,Испания,Европа,6.47
39,Эстония,Европа,6.42
40,Италия,Европа,6.42
41,Панама,Северная Америка,6.41
42,Аргентина,Южная Америка,6.4
43,Казахстан,Азия,6.38
44,Чили,Южная Америка,6.36
45,Гватемала,Северная Америка,6.36
46,Вьетнам,Азия,6.35
47,Никарагуа,Северная Америка,6.33
48,Мальта,Европа,6.32
49,Словакия,Европа,6.22
50,Таиланд,Азия,6.22
51,Латвия,Европа,6.21
52,Оман,Азия,6.2
53,Узбекистан,Азия,6.19
54,Парагвай,Южная Америка,6.17
55,Япония,Азия,6.15
56,Босния и Герцеговина,Европа,6.14
57,Филиппины,Азия,6.11
58,Южная Корея,Азия,6.04
59,Бахрейн,Азия,6.03
60,Португалия,Европа,6.01
61,Колумбия,Южная Америка,6
62,Эквадор,Южная Америка,5.96
63,Гондурас,Северная Америка,5.96
64,Малайзия,Азия,5.96
65,Перу,Южная Америка,5.95
66,Россия,Азия,5.95
67,Кипр,Азия,5.94
68,Китай,Азия,5.92
69,Венгрия,Европа,5.92
70,Тринидад и Тобаго,Северная Америка,5.91
71,Черногория,Европа,5.88
72,Боливия,Южная Америка,5.87
73,Хорватия,Европа,5.87
74,Ямайка,Северная Америка,5.87
75,Кыргызстан,Азия,5.86
76,Доминиканская Республика,Северная Америка,5.85
77,Маврикий,Африка,5.83
78,Монголия,Азия,5.83
79,Беларусь,Европа,5.82
80,Ливия,Африка,5.82
81,Молдова,Европа,5.82
82,Греция,Европа,5.78
83,Венесуэла,Южная Америка,5.68
84,Индонезия,Азия,5.62
85,Алжир,Африка,5.57
86,Болгария,Европа,5.55
87,Северная Македония,Европа,5.5
88,Армения,Азия,5.49
89,Гонконг,Азия,5.49
90,Туркменистан,Азия,5.47
91,Албания,Европа,5.41
92,Таджикистан,Азия,5.41
93,Грузия,Азия,5.4
94,Непал,Азия,5.31
95,Лаос,Азия,5.3
96,Турция,Азия,5.26
97,ЮАР,Африка,5.21
98,Мальдивы,Азия,5.2
99,Мозамбик,Африка,5.19
100,Габон,Африка,5.12
101,Кот-д’Ивуар,Африка,5.1
102,Иран,Азия,5.09
103,Конго,Африка,5.03
104,Ирак,Азия,4.98
105,Гвинея,Африка,4.93
106,Намибия,Африка,4.91
107,Камерун,Африка,4.89
108,Азербайджан,Азия,4.88
109,Нигерия,Африка,4.88
110,Сенегал,Африка,4.86
111,Палестина,Азия,4.78
112,Пакистан,Азия,4.77
113,Нигер,Африка,4.72
114,Украина,Европа,4.68
115,Марокко,Африка,4.62
116,Тунис,Африка,4.55
117,Мавритания,Африка,4.54
118,Кения,Африка,4.51
119,Уганда,Африка,4.46
120,Гамбия,Африка,4.42
121,Индия,Азия,4.39
122,Буркина-Фасо,Африка,4.38
123,Чад,Африка,4.38
124,Бенин,Африка,4.36
125,Сомали,Африка,4.35
126,Камбоджа,Азия,4.34
127,Гана,Африка,4.34
128,Мали,Африка,4.34
129,Мьянма,Азия,4.32
130,Того,Африка,4.32
131,Иордания,Азия,4.31
132,Либерия,Африка,4.28
133,Мадагаскар,Африка,4.16
134,Замбия,Африка,3.91
135,Эфиопия,Африка,3.9
136,Шри-Ланка,Азия,3.89
137,Бангладеш,Азия,3.85
138,Египет,Африка,3.82
139,Танзания,Африка,3.8
140,Бурунди,Африка,3.77
141,Эсватини,Африка,3.77
142,Лесото,Африка,3.76
143,Коморы,Африка,3.75
144,Гаити,Северная Америка,3.62
145,Йемен,Азия,3.56
146,Центральноафриканская Республика,Африка,3.48
147,Демократическая Республика Конго,Африка,3.47
148,Ботсвана,Африка,3.44
149,Зимбабве,Африка,3.4
150,Руанда,Африка,3.27
151,Малави,Африка,3.26
152,Ливан,Азия,3.19
153,Сьерра-Леоне,Африка,3
154,Южный Судан,Африка,2.82
155,Афганистан,Азия,1.36
