Место,Название,Динамика
1,Сербия,0.45
2,Того,0.44
3,Болгария,0.43
4,Грузия,0.39
5,Конго,0.32
6,Латвия,0.30
7,Монголия,0.28
8,Румыния,0.27
9,Филиппины,0.27
10,Китай,0.27
11,Босния и Герцеговина,0.26
12,Северная Македония,0.26
13,Бенин,0.25
14,Габон,0.25
15,Никарагуа,0.24
16,Косово,0.23
17,Армения,0.23
18,Литва,0.22
19,Кот-д’Ивуар,0.21
20,Кыргызстан,0.21
21,Эстония,0.20
22,Венгрия,0.20
23,Непал,0.19
24,Узбекистан,0.19
25,Гвинея,0.18
26,Таджикистан,0.17
27,Вьетнам,0.17
28,Доминиканская Республика,0.16
29,Польша,0.15
30,Словения,0.15
31,Нигер,0.15
32,Парагвай,0.14
33,Черногория,0.14
34,Казахстан,0.14
35,Перу,0.13
36,Уругвай,0.13
37,Португалия,0.13
38,Россия,0.13
39,Ливия,0.12
40,Чад,0.12
41,Камерун,0.12
42,Буркина-Фасо,0.11
43,Тайвань,0.11
44,Мозамбик,0.11
45,Сенегал,0.10
46,Эквадор,0.10
47,Словакия,0.10
48,Молдова,0.10
49,Мали,0.09
50,Исландия,0.09
51,Индонезия,0.09
52,Сальвадор,0.09
53,Бахрейн,0.08
54,Кения,0.08
55,Таиланд,0.07
56,Гондурас,0.07
57,Южная Корея,0.07
58,Чехия,0.07
59,Азербайджан,0.07
60,Маврикий,0.06
61,Мальта,0.06
62,Либерия,0.06
63,Камбоджа,0.06
64,Албания,0.05
65,Палестина,0.05
66,Беларусь,0.04
67,Хорватия,0.04
68,Боливия,0.04
69,Белиз,0.04
70,Чили,0.04
71,Алжир,0.04
72,Мексика,0.04
73,Уганда,0.03
74,Германия,0.03
75,Лаос,0.03
76,Аргентина,0.03
77,Бурунди,0.02
78,Малайзия,0.02
79,ЮАР,0.02
80,Финляндия,0.02
81,Ирак,0.02
82,Япония,0.01
83,Коморы,0.01
84,Гонконг,0.01
85,Гватемала,0.01
86,Люксембург,0.01
87,Кувейт,0.01
88,Турция,0.01
89,Израиль,0.00
90,Нигерия,0.00
91,Намибия,0.00
92,Сингапур,0.00
93,Коста-Рика,0.00
94,Саудовская Аравия,0.00
95,Танзания,0.00
96,Швеция,-0.01
97,Иран,-0.01
98,Мавритания,-0.02
99,Франция,-0.02
100,Италия,-0.02
101,Центральноафриканская Республика,-0.03
102,Нидерланды,-0.03
103,Бельгия,-0.03
104,Великобритания,-0.03
105,Бразилия,-0.03
106,Объединенные Арабские Эмираты,-0.03
107,Колумбия,-0.03
108,Норвегия,-0.03
109,Мадагаскар,-0.03
110,Марокко,-0.04
111,Эфиопия,-0.04
112,Испания,-0.04
113,Дания,-0.04
114,Гаити,-0.04
115,Австралия,-0.05
116,Ирландия,-0.05
117,Ямайка,-0.05
118,Тринидад и Тобаго,-0.06
119,Новая Зеландия,-0.06
120,Греция,-0.06
121,Австрия,-0.06
122,Панама,-0.07
123,Пакистан,-0.07
124,Кипр,-0.07
125,Соединенные Штаты,-0.08
126,Швейцария,-0.08
127,Гана,-0.08
128,Украина,-0.08
129,Шри-Ланка,-0.09
130,Канада,-0.09
131,Оман,-0.09
132,Тунис,-0.11
133,Индия,-0.12
134,Демократическая Республика Конго,-0.13
135,Зимбабве,-0.15
136,Сьерра-Леоне,-0.16
137,Туркменистан,-0.17
138,Замбия,-0.17
139,Венесуэла,-0.18
140,Мьянма,-0.19
141,Бангладеш,-0.20
142,Йемен,-0.20
143,Сомали,-0.20
144,Египет,-0.21
145,Руанда,-0.22
146,Эсватини,-0.23
147,Лесото,-0.23
148,Иордания,-0.25
149,Ботсвана,-0.25
150,Южный Судан,-0.26
151,Малави,-0.29
152,Ливан,-0.37
153,Афганистан,-0.68
