Название,Категория
Сербия,Рост >10%
Того,Рост >10%
Болгария,Рост >10%
Грузия,Рост >10%
Конго,Рост >10%
Латвия,Рост >10%
Монголия,Рост >10%
Румыния,Рост >10%
Филиппины,Рост >10%
Китай,Рост >10%
Босния и Герцеговина,Рост >10%
Северная Македония,Рост >10%
Бенин,Рост >10%
Габон,Рост >10%
Никарагуа,Рост >10%
Косово,Рост >10%
Армения,Рост >10%
Литва,Рост >10%
Кот-д’Ивуар,Рост >10%
Кыргызстан,Рост >10%
Эстония,Рост >10%
Венгрия,Рост >10%
Непал,Рост >10%
Узбекистан,Рост >10%
Гвинея,Рост >10%
Таджикистан,Рост >10%
Вьетнам,Рост >10%
Доминиканская Республика,Рост >10%
Польша,Рост >10%
Словения,Рост >10%
Нигер,Рост >10%
Парагвай,Рост >10%
Черногория,Рост >10%
Казахстан,Рост >10%
Перу,Рост >10%
Уругвай,Рост >10%
Португалия,Рост >10%
Россия,Рост >10%
Ливия,Рост >10%
Чад,Рост >10%
Камерун,Рост >10%
Буркина-Фасо,Рост >10%
Тайвань,Рост >10%
Мозамбик,Рост >10%
Сенегал,Рост >10%
Эквадор,Рост 0-10%
Словакия,Рост 0-10%
Молдова,Рост 0-10%
Мали,Рост 0-10%
Исландия,Рост 0-10%
Индонезия,Рост 0-10%
Сальвадор,Рост 0-10%
Бахрейн,Рост 0-10%
Кения,Рост 0-10%
Таиланд,Рост 0-10%
Гондурас,Рост 0-10%
Южная Корея,Рост 0-10%
Чехия,Рост 0-10%
Азербайджан,Рост 0-10%
Маврикий,Рост 0-10%
Мальта,Рост 0-10%
Либерия,Рост 0-10%
Камбоджа,Рост 0-10%
Албания,Рост 0-10%
Палестина,Рост 0-10%
Беларусь,Рост 0-10%
Хорватия,Рост 0-10%
Боливия,Рост 0-10%
Белиз,Рост 0-10%
Чили,Рост 0-10%
Алжир,Рост 0-10%
Мексика,Рост 0-10%
Уганда,Рост 0-10%
Германия,Рост 0-10%
Лаос,Рост 0-10%
Аргентина,Рост 0-10%
Бурунди,Рост 0-10%
Малайзия,Рост 0-10%
ЮАР,Рост 0-10%
Финляндия,Рост 0-10%
Ирак,Рост 0-10%
Япония,Рост 0-10%
Коморы,Рост 0-10%
Гонконг,Рост 0-10%
Гватемала,Рост 0-10%
Люксембург,Рост 0-10%
Кувейт,Рост 0-10%
Турция,Рост 0-10%
Израиль,Рост 0-10%
Нигерия,Рост 0-10%
Намибия,Рост 0-10%
Сингапур,Рост 0-10%
Коста-Рика,Рост 0-10%
Саудовская Аравия,Рост 0-10%
Танзания,Рост 0-10%
Швеция,Падение 0-10%
Иран,Падение 0-10%
Мавритания,Падение 0-10%
Франция,Падение 0-10%
Италия,Падение 0-10%
Центральноафриканская Республика,Падение 0-10%
Нидерланды,Падение 0-10%
Бельгия,Падение 0-10%
Великобритания,Падение 0-10%
Бразилия,Падение 0-10%
Объединенные Арабские Эмираты,Падение 0-10%
Колумбия,Падение 0-10%
Норвегия,Падение 0-10%
Мадагаскар,Падение 0-10%
Марокко,Падение 0-10%
Эфиопия,Падение 0-10%
Испания,Падение 0-10%
Дания,Падение 0-10%
Гаити,Падение 0-10%
Австралия,Падение 0-10%
Ирландия,Падение 0-10%
Ямайка,Падение 0-10%
Тринидад и Тобаго,Падение 0-10%
Новая Зеландия,Падение 0-10%
Греция,Падение 0-10%
Австрия,Падение 0-10%
Панама,Падение 0-10%
Пакистан,Падение 0-10%
Кипр,Падение 0-10%
Соединенные Штаты,Падение 0-10%
Швейцария,Падение 0-10%
Гана,Падение 0-10%
Украина,Падение 0-10%
Шри-Ланка,Падение 0-10%
Канада,Падение 0-10%
Оман,Падение 0-10%
Тунис,Падение >10%
Индия,Падение >10%
Демократическая Республика Конго,Падение >10%
Зимбабве,Падение >10%
Сьерра-Леоне,Падение >10%
Туркменистан,Падение >10%
Замбия,Падение >10%
Венесуэла,Падение >10%
Мьянма,Падение >10%
Бангладеш,Падение >10%
Йемен,Падение >10%
Сомали,Падение >10%
Египет,Падение >10%
Руанда,Падение >10%
Эсватини,Падение >10%
Лесото,Падение >10%
Иордания,Падение >10%
Ботсвана,Падение >10%
Южный Судан,Падение >10%
Малави,Падение >10%
Ливан,Падение >10%
Афганистан,Падение >10%
